index,Artist,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Stream,upload_date,dias_na_plataforma,spotify_upload
1190,thasup,https://open.spotify.com/artist/19i93sA0D7yS9dYoVNBqAA,c!ao (feat. Rondodasosa),c@ra++ere s?ec!@le,album,spotify:track:78xAYXMtvQkDvlqJA3fKu6,0.559,0.894,2.0,-3.622,0.215,0.119,0.0,0.108,0.473,93.994,212920.0,23046692.0,2022-09-29 23:00:09,130,2022-09-30
1191,thasup,https://open.spotify.com/artist/19i93sA0D7yS9dYoVNBqAA,r()t()nda (feat. Tiziano Ferro),c@ra++ere s?ec!@le,album,spotify:track:0GUPqrlZYs3ANVhAifVlgJ,0.513,0.781,7.0,-5.564,0.204,0.483,0.0,0.347,0.682,78.748,159592.0,18523405.0,2023-02-01 13:00:42,5,2022-09-30
1192,thasup,https://open.spotify.com/artist/19i93sA0D7yS9dYoVNBqAA,BUBBLE (feat. thasup & Salmo),BUBBLE (feat. thasup & Salmo),single,spotify:track:3fIB4IEcvjlzItwnFUvIBk,0.803,0.709,9.0,-6.54,0.0432,0.0769,0.0,0.286,0.706,121.947,164328.0,38977214.0,2022-06-30 12:00:27,221,2022-06-10
1193,thasup,https://open.spotify.com/artist/19i93sA0D7yS9dYoVNBqAA,mi @mi o è f@ke,c@ra++ere s?ec!@le,album,spotify:track:3W2tsZcoDxmNQaw61Kz1rb,0.669,0.802,5.0,-3.991,0.0564,0.139,0.0,0.0979,0.877,160.222,128267.0,14812152.0,2022-09-29 23:00:04,130,2022-09-30
1194,thasup,https://open.spotify.com/artist/19i93sA0D7yS9dYoVNBqAA,SOLITE PARE (feat. thasup & Sfera Ebbasta),X2,album,spotify:track:0PQxC8NHgiKXLK3Zm6QoCj,0.66,0.79,9.0,-4.344,0.0537,0.282,0.0,0.299,0.556,111.071,211660.0,51426672.0,2022-01-07 00:00:09,395,2022-01-07
1196,thasup,https://open.spotify.com/artist/19i93sA0D7yS9dYoVNBqAA,l%p (feat. Mara Sattei),c@ra++ere s?ec!@le,album,spotify:track:4HnloO8GMqz0IVJPANYXzo,0.893,0.521,1.0,-5.952,0.0616,0.153,0.0,0.0695,0.862,126.951,176293.0,10071673.0,2022-09-29 23:00:09,130,2022-09-30
1197,thasup,https://open.spotify.com/artist/19i93sA0D7yS9dYoVNBqAA,ye@h (feat. Shiva),c@ra++ere s?ec!@le,album,spotify:track:2BkoXEOE6vvkOKVNjPax2B,0.587,0.779,0.0,-3.804,0.162,0.154,2.06e-05,0.0493,0.641,145.1,156616.0,9831867.0,2022-09-29 23:00:19,130,2022-09-30
1254,The Smashing Pumpkins,https://open.spotify.com/artist/40Yq4vzPs9VNUrIBG5Jr2i,Beguiled,Beguiled,single,spotify:track:6rBiMyaGB1ZJQnxb01FkPG,0.698,0.611,2.0,-6.542,0.0281,7.73e-05,0.295,0.0937,0.449,116.997,238143.0,5179514.0,2022-09-20 16:33:10,139,2022-09-20
1263,Skillet,https://open.spotify.com/artist/49bzE5vRBRIota4qeHtQM8,Psycho In My Head,Psycho In My Head,single,spotify:track:6VWocK4U2rcTQeVrfDlCMV,0.563,0.924,0.0,-4.004,0.048,0.000926,0.0,0.341,0.734,133.997,197480.0,3529082.0,2022-12-16 18:00:24,52,2022-12-09
1287,Sabaton,https://open.spotify.com/artist/3o2dn2O0FCVsWDFSh8qxgG,Night Witches,Heroes,album,spotify:track:1xBRGN41DWx2vwNFY5CvGe,0.546,0.92,5.0,-4.83,0.0592,0.00661,3.13e-06,0.904,0.265,95.996,181333.0,63088022.0,2022-01-20 09:00:20,382,2014-05-16
